    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
        11         3         1    0.0649    0.1322    0.2063    0.6530    0.0562    0.0381  405.9236  375.4710    1.0811
        11         3         1    0.0654    0.1318    0.2068    0.6537    0.0565    0.0388  410.7589  380.8741    1.0785
        11         3         1    0.0660    0.1313    0.2072    0.6544    0.0569    0.0394  415.6951  386.3872    1.0759
        11         3         1    0.0207    0.0224    0.1247    0.6298    0.0345    0.0101  240.9138  188.5920    1.2774
        11         3         1    0.0204    0.0208    0.1252    0.6297    0.0346    0.0102  237.8626  186.1778    1.2776
        11         3         1    0.0202    0.0191    0.1257    0.6295    0.0346    0.0102  234.4731  183.5104    1.2777
        11         3         1    0.0194    0.0139    0.1274    0.6266    0.0345    0.0103  218.1403  171.1856    1.2743
        11         3         1    0.0687    0.1289    0.2091    0.6574    0.0583    0.0429  442.0274  415.7499    1.0632
        11         3         1    0.0692    0.1285    0.2094    0.6580    0.0586    0.0436  447.6547  422.0143    1.0608
        11         3         1    0.0698    0.1280    0.2097    0.6586    0.0589    0.0443  453.4134  428.4213    1.0583
        11         3         1    0.0703    0.1275    0.2100    0.6591    0.0591    0.0450  459.3087  434.9763    1.0559
        11         3         1    0.0709    0.1270    0.2103    0.6596    0.0594    0.0458  465.3459  441.6853    1.0536
        11         3         1    0.0714    0.1265    0.2106    0.6601    0.0597    0.0465  471.5310  448.5543    1.0512
        11         3         1    0.0719    0.1260    0.2108    0.6606    0.0599    0.0472  477.8697  455.5898    1.0489
        11         3         1    0.0725    0.1255    0.2111    0.6611    0.0602    0.0479  484.3686  462.7989    1.0466
        11         3         1    0.0730    0.1250    0.2113    0.6616    0.0604    0.0486  491.0342  470.1883    1.0443
        11         3         1    0.0736    0.1244    0.2115    0.6621    0.0607    0.0494  497.8734  477.7659    1.0421
        11         3         1    0.0741    0.1239    0.2117    0.6625    0.0609    0.0501  504.8938  485.5394    1.0399
        11         3         1    0.0747    0.1234    0.2119    0.6630    0.0612    0.0508  512.1030  493.5173    1.0377
        11         3         1    0.0752    0.1229    0.2121    0.6634    0.0614    0.0516  519.5091  501.7085    1.0355
        11         3         1    0.0758    0.1224    0.2123    0.6638    0.0616    0.0523  527.1210  510.1222    1.0333
        11         3         1    0.0763    0.1218    0.2124    0.6642    0.0619    0.0530  534.9477  518.7684    1.0312
        11         3         1    0.0769    0.1213    0.2126    0.6646    0.0621    0.0538  542.9989  527.6576    1.0291
